matrix,config,run_type,schedule,chunk,threads,L1_misses_val_mean,L1_misses_val_std,L1_misses_val_min,L1_misses_val_max,L1_percent_val_mean,L1_percent_val_std,L1_percent_val_min,L1_percent_val_max,LLC_misses_val_mean,LLC_misses_val_std,LLC_misses_val_min,LLC_misses_val_max,LLC_percent_val_mean,LLC_percent_val_std,LLC_percent_val_min,LLC_percent_val_max,repeat_count
crankseg_1,dynamic_c100_t64,parallel,dynamic,100.0,64.0,12045129.7,299207.85725164757,11775885.0,12563277.0,0.346,0.008432740427115665,0.34,0.36,84140.4,19554.975327124408,70432.0,117619.0,49.471,3.554763470799897,46.47,56.29,10
crankseg_1,dynamic_c100_t8,parallel,dynamic,100.0,8.0,12001141.5,241258.19512494162,11706279.0,12298830.0,0.353,0.008232726023485643,0.34,0.36,83476.2,17029.709052124173,66931.0,109165.0,58.866,1.8572033933967615,56.83,63.0,10
crankseg_1,dynamic_c10_t1,parallel,dynamic,10.0,1.0,11900873.6,293148.56133222865,11567565.0,12380782.0,0.34900000000000003,0.009944289260117506,0.34,0.36,66475.8,16672.753600477103,51115.0,95433.0,65.45599999999999,1.5090924424964807,64.01,69.33,10
crankseg_1,dynamic_c10_t16,parallel,dynamic,10.0,16.0,12618670.0,244221.0750920385,12126281.0,12890421.0,0.371,0.007378647873726224,0.36,0.38,133319.1,17851.261028908357,100580.0,146276.0,52.564,1.5814283276695011,50.38,54.47,10
crankseg_1,dynamic_c10_t2,parallel,dynamic,10.0,2.0,12173032.1,295044.52550550166,11759029.0,12536572.0,0.358,0.00788810637746615,0.35,0.37,99296.8,22402.886410262206,73028.0,122336.0,63.315999999999995,2.362678329542321,60.36,66.62,10
crankseg_1,dynamic_c10_t32,parallel,dynamic,10.0,32.0,12327481.1,254771.26212587452,12116410.0,12755164.0,0.363,0.004830458915396485,0.36,0.37,117083.9,16173.657721740003,105750.0,141940.0,44.974000000000004,1.1870336511189934,43.49,46.79,10
crankseg_1,dynamic_c10_t4,parallel,dynamic,10.0,4.0,12170151.8,269509.2147514728,11864324.0,12545463.0,0.358,0.009189365834726822,0.35,0.37,111424.0,20114.806072476396,93744.0,142569.0,66.241,1.1957187517695507,64.59,68.11,10
crankseg_1,dynamic_c10_t64,parallel,dynamic,10.0,64.0,12607216.5,318937.4161448711,12193890.0,12906733.0,0.364,0.010749676997731413,0.35,0.38,139630.6,23895.152387042857,111384.0,169574.0,42.552,2.4958133833370737,39.84,46.84,10
crankseg_1,dynamic_c10_t8,parallel,dynamic,10.0,8.0,12392309.4,278771.9166527841,11986279.0,12755862.0,0.366,0.00843274042711568,0.35,0.38,122022.9,19999.875518779278,97862.0,144270.0,60.235,1.078684898898242,58.25,61.69,10
crankseg_1,dynamic_c1_t1,parallel,dynamic,1.0,1.0,11880276.3,291627.3552227803,11529467.0,12222995.0,0.34900000000000003,0.009944289260117525,0.34,0.36,66619.6,16603.715649750742,50420.0,86993.0,64.368,1.8124372786082528,62.2,67.95,10
crankseg_1,dynamic_c1_t16,parallel,dynamic,1.0,16.0,13856732.1,300296.1227760395,13435246.0,14207313.0,0.40700000000000003,0.006749485577105505,0.4,0.42,512939.7,59677.782446978454,419340.0,590418.0,67.077,2.6635191841705312,62.88,70.17,10
crankseg_1,dynamic_c1_t2,parallel,dynamic,1.0,2.0,12801403.3,305299.5556131167,12522667.0,13258069.0,0.376,0.00843274042711568,0.37,0.39,81887.7,20723.018892311786,65059.0,109065.0,33.563,3.683374207918,30.56,38.84,10
crankseg_1,dynamic_c1_t32,parallel,dynamic,1.0,32.0,14150367.3,362418.6078151586,13817579.0,14665889.0,0.41600000000000004,0.008432740427115688,0.41,0.43,480925.5,74841.59122848145,410354.0,577238.0,58.366,1.5866890754720078,56.06,60.44,10
