matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
Serena,parallel,static,100,1,static_c100_t1,42.2196,10
Serena,parallel,static,10000,2,static_c10000_t2,21.925800000000002,10
Serena,parallel,static,10000,4,static_c10000_t4,18.127299999999998,10
Serena,parallel,static,10000,8,static_c10000_t8,12.5566,10
Serena,parallel,static,10000,16,static_c10000_t16,10.980799999999999,10
Serena,parallel,static,100,32,static_c100_t32,14.2739,10
Serena,parallel,static,10,64,static_c10_t64,46.4911,10
Serena,parallel,dynamic,1000,1,dynamic_c1000_t1,41.9722,10
Serena,parallel,dynamic,100,2,dynamic_c100_t2,22.8905,10
Serena,parallel,dynamic,1000,4,dynamic_c1000_t4,17.2748,10
Serena,parallel,dynamic,1000,8,dynamic_c1000_t8,17.924599999999998,10
Serena,parallel,dynamic,1000,16,dynamic_c1000_t16,17.598499999999998,10
Serena,parallel,dynamic,10,32,dynamic_c10_t32,23.787499999999998,10
Serena,parallel,dynamic,10,64,dynamic_c10_t64,38.7554,10
Serena,parallel,guided,10000,1,guided_c10000_t1,41.557,10
Serena,parallel,guided,10,2,guided_c10_t2,21.3914,10
Serena,parallel,guided,1,4,guided_c1_t4,19.0841,10
Serena,parallel,guided,10,8,guided_c10_t8,16.4181,10
Serena,parallel,guided,1000,16,guided_c1000_t16,15.117099999999999,10
Serena,parallel,guided,1,32,guided_c1_t32,21.6561,10
Serena,parallel,guided,10000,64,guided_c10000_t64,190.5084,10
