matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
crankseg_1,parallel,guided,10,64,guided_c10_t64,28.59829999999999,10
crankseg_1,parallel,guided,100,1,guided_c100_t1,7.1533999999999995,10
crankseg_1,parallel,guided,100,2,guided_c100_t2,3.6010999999999997,10
crankseg_1,parallel,guided,100,4,guided_c100_t4,2.3918999999999997,10
crankseg_1,parallel,guided,100,8,guided_c100_t8,3.9248999999999934,10
crankseg_1,parallel,guided,100,16,guided_c100_t16,2.2152000000000003,10
crankseg_1,parallel,guided,100,32,guided_c100_t32,1.5708999999999995,10
crankseg_1,parallel,guided,100,64,guided_c100_t64,26.0021,10
crankseg_1,parallel,guided,1000,1,guided_c1000_t1,7.097099999999999,10
crankseg_1,parallel,guided,1000,2,guided_c1000_t2,3.5812,10
crankseg_1,parallel,guided,1000,4,guided_c1000_t4,2.5488999999999997,10
crankseg_1,parallel,guided,1000,8,guided_c1000_t8,2.5436,10
crankseg_1,parallel,guided,1000,16,guided_c1000_t16,1.9816999999999998,10
crankseg_1,parallel,guided,1000,32,guided_c1000_t32,2.192599999999998,10
crankseg_1,parallel,guided,1000,64,guided_c1000_t64,2.199599999999998,10
crankseg_1,parallel,guided,10000,1,guided_c10000_t1,7.151400000000001,10
crankseg_1,parallel,guided,10000,2,guided_c10000_t2,3.6090999999999998,10
crankseg_1,parallel,guided,10000,4,guided_c10000_t4,2.7204,10
crankseg_1,parallel,guided,10000,8,guided_c10000_t8,3.469499999999996,10
crankseg_1,parallel,guided,10000,16,guided_c10000_t16,20.641099999999994,10
crankseg_1,parallel,guided,10000,32,guided_c10000_t32,3.826899999999995,10
crankseg_1,parallel,guided,10000,64,guided_c10000_t64,61.762100000000004,10
ldoor,sequential,sequential,-,-,seq,30.5773,10
ldoor,parallel,static,1,1,static_c1_t1,30.7443,10
ldoor,parallel,static,1,2,static_c1_t2,31.430400000000006,10
ldoor,parallel,static,1,4,static_c1_t4,27.8454,10
ldoor,parallel,static,1,8,static_c1_t8,27.6617,10
ldoor,parallel,static,1,16,static_c1_t16,23.141,10
ldoor,parallel,static,1,32,static_c1_t32,36.4286,10
ldoor,parallel,static,1,64,static_c1_t64,41.053200000000004,10
ldoor,parallel,static,10,1,static_c10_t1,30.948900000000002,10
ldoor,parallel,static,10,2,static_c10_t2,34.624700000000004,10
ldoor,parallel,static,10,4,static_c10_t4,21.5639,10
ldoor,parallel,static,10,8,static_c10_t8,16.2304,10
ldoor,parallel,static,10,16,static_c10_t16,13.588899999999999,10
ldoor,parallel,static,10,32,static_c10_t32,10.5696,10
ldoor,parallel,static,10,64,static_c10_t64,42.316,10
ldoor,parallel,static,100,1,static_c100_t1,30.6425,10
ldoor,parallel,static,100,2,static_c100_t2,25.6127,10
ldoor,parallel,static,100,4,static_c100_t4,14.400699999999999,10
ldoor,parallel,static,100,8,static_c100_t8,10.3648,10
ldoor,parallel,static,100,16,static_c100_t16,8.405,10
ldoor,parallel,static,100,32,static_c100_t32,8.4056,10
ldoor,parallel,static,100,64,static_c100_t64,112.1876,10
ldoor,parallel,static,1000,1,static_c1000_t1,33.779999999999994,10
ldoor,parallel,static,1000,2,static_c1000_t2,24.659499999999998,10
ldoor,parallel,static,1000,4,static_c1000_t4,13.554699999999999,10
ldoor,parallel,static,1000,8,static_c1000_t8,25.35,10
ldoor,parallel,static,1000,16,static_c1000_t16,7.3593,10
ldoor,parallel,static,1000,32,static_c1000_t32,35.854499999999994,10
ldoor,parallel,static,1000,64,static_c1000_t64,125.5431,10
ldoor,parallel,static,10000,1,static_c10000_t1,30.98,10
ldoor,parallel,static,10000,2,static_c10000_t2,15.1093,10
ldoor,parallel,static,10000,4,static_c10000_t4,12.4046,10
ldoor,parallel,static,10000,8,static_c10000_t8,9.7146,10
ldoor,parallel,static,10000,16,static_c10000_t16,7.2799,10
ldoor,parallel,static,10000,32,static_c10000_t32,26.032200000000003,10
ldoor,parallel,static,10000,64,static_c10000_t64,88.3236,10
ldoor,parallel,dynamic,1,1,dynamic_c1_t1,53.7722,10
ldoor,parallel,dynamic,1,2,dynamic_c1_t2,81.7296,10
ldoor,parallel,dynamic,1,4,dynamic_c1_t4,116.31019999999995,10
ldoor,parallel,dynamic,1,8,dynamic_c1_t8,160.97229999999996,10
ldoor,parallel,dynamic,1,16,dynamic_c1_t16,89.75659999999999,10
ldoor,parallel,dynamic,1,32,dynamic_c1_t32,72.8434,10
ldoor,parallel,dynamic,1,64,dynamic_c1_t64,81.29319999999998,10
ldoor,parallel,dynamic,10,1,dynamic_c10_t1,32.7309,10
ldoor,parallel,dynamic,10,2,dynamic_c10_t2,33.9676,10
ldoor,parallel,dynamic,10,4,dynamic_c10_t4,18.6781,10
ldoor,parallel,dynamic,10,8,dynamic_c10_t8,16.8635,10
ldoor,parallel,dynamic,10,16,dynamic_c10_t16,15.2742,10
ldoor,parallel,dynamic,10,32,dynamic_c10_t32,15.1561,10
ldoor,parallel,dynamic,10,64,dynamic_c10_t64,36.3885,10
ldoor,parallel,dynamic,100,1,dynamic_c100_t1,31.010199999999998,10
ldoor,parallel,dynamic,100,2,dynamic_c100_t2,24.197699999999998,10
ldoor,parallel,dynamic,100,4,dynamic_c100_t4,14.594,10
ldoor,parallel,dynamic,100,8,dynamic_c100_t8,13.2091,10
ldoor,parallel,dynamic,100,16,dynamic_c100_t16,12.6128,10
ldoor,parallel,dynamic,100,32,dynamic_c100_t32,23.1931,10
ldoor,parallel,dynamic,100,64,dynamic_c100_t64,136.631,10
ldoor,parallel,dynamic,1000,1,dynamic_c1000_t1,31.437600000000003,10
ldoor,parallel,dynamic,1000,2,dynamic_c1000_t2,21.865,10
ldoor,parallel,dynamic,1000,4,dynamic_c1000_t4,14.448099999999998,10
ldoor,parallel,dynamic,1000,8,dynamic_c1000_t8,11.715100000000001,10
ldoor,parallel,dynamic,1000,16,dynamic_c1000_t16,12.102500000000001,10
ldoor,parallel,dynamic,1000,32,dynamic_c1000_t32,38.9694,10
ldoor,parallel,dynamic,1000,64,dynamic_c1000_t64,170.15949999999998,10
ldoor,parallel,dynamic,10000,1,dynamic_c10000_t1,30.3063,10
ldoor,parallel,dynamic,10000,2,dynamic_c10000_t2,16.038899999999998,10
ldoor,parallel,dynamic,10000,4,dynamic_c10000_t4,14.295599999999999,10
ldoor,parallel,dynamic,10000,8,dynamic_c10000_t8,13.924,10
ldoor,parallel,dynamic,10000,16,dynamic_c10000_t16,10.027399999999998,10
ldoor,parallel,dynamic,10000,32,dynamic_c10000_t32,36.6892,10
ldoor,parallel,dynamic,10000,64,dynamic_c10000_t64,110.831,10
ldoor,parallel,guided,1,1,guided_c1_t1,30.4164,10
ldoor,parallel,guided,1,2,guided_c1_t2,15.8107,10
ldoor,parallel,guided,1,4,guided_c1_t4,9.465100000000001,10
ldoor,parallel,guided,1,8,guided_c1_t8,13.854099999999999,10
ldoor,parallel,guided,1,16,guided_c1_t16,12.911999999999999,10
ldoor,parallel,guided,1,32,guided_c1_t32,80.7391,10
ldoor,parallel,guided,1,64,guided_c1_t64,142.3146,10
ldoor,parallel,guided,10,1,guided_c10_t1,26.4051,10
ldoor,parallel,guided,10,2,guided_c10_t2,21.045499999999997,10
ldoor,parallel,guided,10,4,guided_c10_t4,14.6375,10
ldoor,parallel,guided,10,8,guided_c10_t8,10.1919,10
ldoor,parallel,guided,10,16,guided_c10_t16,11.4803,10
ldoor,parallel,guided,10,32,guided_c10_t32,77.2828,10
ldoor,parallel,guided,10,64,guided_c10_t64,141.98809999999997,10
ldoor,parallel,guided,100,1,guided_c100_t1,26.3802,10
ldoor,parallel,guided,100,2,guided_c100_t2,21.1428,10
ldoor,parallel,guided,100,4,guided_c100_t4,13.8847,10
ldoor,parallel,guided,100,8,guided_c100_t8,12.5528,10
ldoor,parallel,guided,100,16,guided_c100_t16,10.4563,10
ldoor,parallel,guided,100,32,guided_c100_t32,39.6274,10
ldoor,parallel,guided,100,64,guided_c100_t64,162.55,10
ldoor,parallel,guided,1000,1,guided_c1000_t1,25.389,10
ldoor,parallel,guided,1000,2,guided_c1000_t2,20.728399999999997,10
ldoor,parallel,guided,1000,4,guided_c1000_t4,14.564,10
