run_type,mode,schedule,chunk,threads,repeat,metric,value,log_file
parallel,code,dynamic,10,1,2,time,0.000046,../results/logs/dynamic_c10_t1.log
parallel,code,dynamic,10,1,3,time,0.000033,../results/logs/dynamic_c10_t1.log
parallel,code,dynamic,10,2,1,time,0.000161,../results/logs/dynamic_c10_t2.log
parallel,code,dynamic,10,2,2,time,0.000186,../results/logs/dynamic_c10_t2.log
parallel,code,dynamic,10,2,3,time,0.000197,../results/logs/dynamic_c10_t2.log
parallel,code,dynamic,10,4,1,time,0.000225,../results/logs/dynamic_c10_t4.log
parallel,code,dynamic,10,4,2,time,0.000230,../results/logs/dynamic_c10_t4.log
parallel,code,dynamic,10,4,3,time,0.000340,../results/logs/dynamic_c10_t4.log
parallel,code,dynamic,10,8,1,time,0.000412,../results/logs/dynamic_c10_t8.log
parallel,code,dynamic,10,8,2,time,0.000428,../results/logs/dynamic_c10_t8.log
parallel,code,dynamic,10,8,3,time,0.000397,../results/logs/dynamic_c10_t8.log
parallel,code,dynamic,100,1,1,time,0.000028,../results/logs/dynamic_c100_t1.log
parallel,code,dynamic,100,1,2,time,0.000030,../results/logs/dynamic_c100_t1.log
parallel,code,dynamic,100,1,3,time,0.000031,../results/logs/dynamic_c100_t1.log
parallel,code,dynamic,100,2,1,time,0.000147,../results/logs/dynamic_c100_t2.log
parallel,code,dynamic,100,2,2,time,0.000149,../results/logs/dynamic_c100_t2.log
parallel,code,dynamic,100,2,3,time,0.000161,../results/logs/dynamic_c100_t2.log
parallel,code,dynamic,100,4,1,time,0.000307,../results/logs/dynamic_c100_t4.log
parallel,code,dynamic,100,4,2,time,0.000531,../results/logs/dynamic_c100_t4.log
parallel,code,dynamic,100,4,3,time,0.000223,../results/logs/dynamic_c100_t4.log
parallel,code,dynamic,100,8,1,time,0.000377,../results/logs/dynamic_c100_t8.log
parallel,code,dynamic,100,8,2,time,0.000507,../results/logs/dynamic_c100_t8.log
parallel,code,dynamic,100,8,3,time,0.000397,../results/logs/dynamic_c100_t8.log
parallel,code,guided,1,1,1,time,0.000038,../results/logs/guided_c1_t1.log
parallel,code,guided,1,1,2,time,0.000040,../results/logs/guided_c1_t1.log
parallel,code,guided,1,1,3,time,0.000039,../results/logs/guided_c1_t1.log
parallel,code,guided,1,2,1,time,0.000129,../results/logs/guided_c1_t2.log
parallel,code,guided,1,2,2,time,0.000188,../results/logs/guided_c1_t2.log
